"","address","price","area","noroom","description","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Futés","Légkondicionáló","Rezsiköltség","Akadálymentesített","Fürdo és WC","Tájolás","Kilátás","Erkély mérete","Kertkapcsolatos","Tetotér","Parkolás","Parkolóhely ára","Építés éve","Panelprogram"
"758","V. kerület, Dorottya utca","99 millió Ft","78 m²","2","Eladásra kínálunk egy 78 nm-es lakást a Dorottya utcában az 5. kerületben. A lakás egy klasszikus épület 3. emeletén található, ablakai belso udvarra néznek. A lakás egy hálószobából, egy amerikai konyhás nappaliból - melyben található egy üveggel leválasztott hálófülke is -, és 2 fürdoszobából áll. Futése gázcirkó, közös költsége 17000 ft/hónap. Budapest lükteto belvárosának centrumában helyezkedik el, itt található többek között az üzletekkel és éttermekkel teletuzdelt Váci utca, valamint a meseszép panorámával rendelkezo Duna korzó és Belgrád rakpart. A Ferenciek tere, az Astoria, a Fovám- és a Kálvin tér egyaránt fontos pontjai a városnak, melyek számos turisztikai nevezetességgel rendelkeznek. A város ezen részén található a híres Vásárcsarnok és a Károlyi kert is. Budapest összes metróvonala, továbbá számos villamosjárat könnyedén elérheto a Belváros bármely pontjáról.","felújított","nincs megadva","nincs megadva","3","4","van","nincs megadva","nincs megadva","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","udvari","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"759","VII. kerület, Belso-Erzsébetváros","99 millió Ft","89 m²","4","Magas minoség, luxus kivitelezés Budapest Belvárosában!Álmai otthona megtalálása során fontos, hogy a stílus, a minoség és az elegancia egyaránt ötvözve legyen? Szereti a nagypolgári hangulatot de mégis valami igazán modernre vágyik? Imádja a belvárosi nyüzsgést, de fontos szempont hogy otthona legyen túl zajos? Akkor jöjjön el, és szeressen bele Ön is ebbe a lakásba!A House Hunters Ingatlaniroda legújabb kínálatában Budapest VII. kerületében található tégla építésu ház elso emeletén található 89m2-es +10m2-es teljes értéku galériával rendelkezo nappali + 4 háló helységgel ellátott, 2 gardróbszobával kialakított vadonatújjonan felújított és átalakított lakás.Az ingatlan teljes felújításon és átalakításon ment keresztül, lakberendezo és belso építész csodálatos munkájának köszönheti új külsejét. A felújítás során teljes vezetékcsere, cirkó futés kialakítás, amerikai konyhás nappali kialakítás , burkolatok, nyílászárók cseréje, klímatizálás minden szobában, szobák elrendezésének újragondolása, gardrób szoba kialakítás történt.Az ingatlanban a teljes berendezési tárgyon, bútorokon kívül a gépesített konyha is a vételár részét képezi.Megtekintés a hét minden napján, elore egyeztett idopontban. Részletekért, egyéb kérdés esetén keressen bizalommal.","felújított","duplakomfortos","nincs megadva","1","2","nincs","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nem","egy helyiségben","nincs megadva","utcai","nincs megadva","nem","nem tetotéri","utca, közterület - fizetos övezet",NA,"1950 elott",NA
"760","VI. kerület, Király utca","99 millió Ft","83 m²","5","VI. kerület belvárosi részén, a Király utcában eladó egy 83 nm-es, ragyogó elosztású, 4 hálószobás, világos lakás. Néhány éve teljes köru átalakításon ment keresztül, a víz-, gáz-, elektromos hálózat-, burkolatok-, nyílászárók- , cirkófutés megújításán kívül alaprajza is praktikusabbá változott. A nagy méretu konyha-étkezo eloszoba közös élettérként használható. Mind a négy szobája utcai nézetu, napfényes, és külön bejáratú két fürdoszoba szolgálja a lakók kényelmét.  Az ingatlan hosszú vagy rövid távú kiadásra kiválóan alkalmas, de egy nagyobb család igényeit is kielégíti.  A társasház jó állapotú, anyagilag rendezett, folyamatosan karbantartott, lakóközössége tiszta, kulturált, csendes . Mozgalmas környék, igazi városi hangulat jellemzi, éttermek, kávézók, színházak, és a patinás Andrássy út csak néhány lépés. Kiváló közlekedés és infrastruktúra, iskolák, posta, boltok,M1,trolik, buszok. Ajánlom családoknak, saját részre, vagy akár befektetésnek, kiadásra.Referencia szám: LK050942","felújított","nincs megadva","nincs megadva","2","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"761","IX. kerület, Angyal utca","99 millió Ft","120 m²","2 + 3 fél","IX. kerület rehabilitációs részén az Angyal utcában közel a Dunához, eladó egy 120 nm-es, remek elrendezésu, 2+3 félszobás, dupla komfortos, cirkos, francia erkélyes, emeleti, szép állapotú lakás.Az ingatlan egy rendezett lift nélküli társasház harmadik emeltén helyezkedik el. Belépve az ingatlanba egy tágas elotérbe érünk, ahonnan a szobák nyílnak, mind külön nyíló. A jelenlegi elrendezése két egész szoba és három félszoba. A félszobákban a nagy belmagasságnak köszönhetoen galéria található.Az ingatlan duplakomfortos, az egyik fürdoszobába zuhanykabin, a másikban fürdokád található. A konyha gépesített. A futésrol gáz cirkó gondoskodik.Kifogástalan elhelyezkedés, 2 percre a körúttól mégis csendes kis utcában. Elonyei közé tartozik az ingatlannak, hogy a város zaja egyáltalán nem szurodik be. Pár perc sétára 4,6-os villamos, M3 metró, buszjáratok. Közelben a Corvin negyed és bevásárlási lehetoségei és a Semmelweis Egyetem a tovább tanulni vágyóknak.További információkért és a megtekintés miatt kérem, keressen elérhetoségeimen!For more information please feel free to contact me.Per ulteriori informazioni potete contattarmi telefonicamente o via email.","felújított","duplakomfortos","nincs megadva","3","nincs megadva","nincs","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","2 m²","nincs megadva","nincs megadva","utca, közterület",NA,"nincs megadva",NA
"762","II. kerület, Nagybányai út","99 millió Ft","74 m²","3","Örök panoráma, prémium kategória! Örök panorámájú, 3 szobás, prémium kategóriás lakás eladó Törökvészen, Budapest 2. kerületében. Az új tulajdonos korlátlanul élvezheti az örök panorámát, a déli fekvésu, napfényben úszó amerikai konyhás nappalit, a nyugatra tájolt hálószobák kényelmét. A lakáshoz tágas erkély, 15 m2-es tároló,  és kizárólagos kerthasználat tartozik. Mindezek a vételár részét képezik. Opcionálisan akár 2 gépkocsi beállására is alkalmas udvari beálló vásárolható 5M Ft-os áron. A teraszról gyönyöru panoráma nyílik a Budai hegyekre. Csendes, meghitt, biztonságos környék. A közelben iskola, óvoda, több bevásárlási lehetoség. Ha kényelmes, csendes, jó levegoju, igazi otthont keres, itt megtalálja. A parkolásra udvari beálló áll rendelkezésre, de a közterületi parkolás is ingyenes. Saját otthonnak és befektetésnek is kiváló.","újszeru","összkomfortos","nincs megadva","1","3","nincs megadva","nincs megadva","gáz (cirko)","van","nincs megadva","nincs megadva","nincs megadva","dél","panorámás","12 m²","nincs megadva","nincs megadva","udvari beálló - megvásárolható","5 000 000 Ft","2001 és 2010 között",NA
"763","XI. kerület, Albertfalva","99 millió Ft","123 m²","2 + 1 fél","ALBERTFALVÁN BELSO 2 SZINTES, AKÁR 5 SZOBÁSSÁ ALAKÍTHATÓ PANORÁMÁS LAKÁS ELADÓ!","nincs megadva","nincs megadva","nincs megadva","6","nincs megadva","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","kelet","nincs megadva","nincs megadva","nincs megadva","tetotéri","nincs megadva",NA,NA,NA
"764","II. kerület, Szász Károly utca","99 millió Ft","116 m²","4","IGÉNYESEN FELÚJÍTOTT, CSENDES, NAPFÉNYES, IGAZI NAGYPOLGÁRI LAKÁS A MECHWART LIGETNÉL!II. kerület, Szász Károly utcában 1. emeleti, 3+1 szobás, duplakomfortos, 1 éve magas színvonalon és igényesen felújított, tágas, világos lakás, jól karban tartott liftes házban eladó.A meleget cirkó (hideg burkolatú helyiségekben padlófutés) biztosítja, klíma és riasztó is ki van építve. A lakás valamennyi szobája külön nyíló, 2 fürdoszobával, s külön mosó-szárító helyiséggel rendelkezik.Igazi kuriózum! Ha exkluzív kialakítású, de meleg hangulatú polgári lakást keres csendes utcában, remek közlekedés és infrastruktúra mellett, akkor jöjjön el és tekintse meg mielobb ezt az ingatlant!","felújított","duplakomfortos","nincs megadva","1","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","nincs megadva","délnyugat","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"765","VI. kerület, Király utca","99 millió Ft","83 m²","4","PÁRATLAN LEHETOSÉG, SAROK LAKÁS ELADÓ A KIRÁLY UTCÁBAN!VI. Kerület belvárosi részén, KÖRÚTON BELÜL, a Király utcában eladó egy 83 nm-es, ragyogó elosztású, 4 szobás, világos lakás.Néhány éve teljes köru felújításon esett át, a víz, gáz, villany, burkolatok és cirkófutés felújítása mellett az alaprajza is praktikusabb lett. A nagy konyha-étkezo közös lakótérként is használható. Mind a négy szoba utcára néz, napfényes, két külön bejáratú fürdoszoba szolgálja a lakók kényelmét. Az ingatlan kiválóan alkalmas hosszú vagy rövid távú bérbeadásra, de egy nagyobb család igényeit is kielégíti.A társasház jó állapotú, anyagilag rendezett, folyamatosan karbantartott, lakóközössége tiszta, kulturált, csendes. Forgalmas környék, igazi városi hangulat, éttermek, kávézók, színházak, valamint pár lépésre a patinás Andrássy út jellemzi.Kiváló közlekedés és infrastruktúra, iskolák, posta, üzletek, M1, trolik, buszok. Ajánlom családoknak, saját részre, de akár befektetésnek, publikálásnak is. A lakás tehermentes, azonnal költözheto.További információkért keressen bátran!English:UNMATCHED OPPORTUNITY, CORNER APARTMENT FOR SALE ON KING STREET!VI. In the downtown part of the district, WITHIN THE CIRCUIT, in Király utca, an 83 sqm, brilliantly distributed, 4-bedroom, bright apartment is for sale.A few years ago, it underwent a complete renovation, and in addition to the renewal of water, gas, electricity, coverings and circulating heating, its floor plan also became more practical. The large kitchen-dining room can be used as a common living space. All four rooms have street views, are sunny, and have two bathrooms with separate entrances for the convenience of residents. The property is perfect for long or short term rentals, but also caters to the needs of a larger family.The condominium is in good condition, financially tidy, constantly maintained, its residential community is clean, cultured, quiet. It is characterized by a busy neighborhood, a real urban atmosphere, restaurants, cafes, theaters, and the patinated Andrássy Avenue just a few steps away.Excellent transport and infrastructure, schools, post office, shops, M1, trolleys, buses. I recommend it to families, for my own part, or even for investment or publishing. The apartment is unencumbered and can be moved immediately.Feel free to search for more information!Referencia szám: LK050942","felújított","nincs megadva","nincs megadva","2","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"766","V. kerület, Március 15. tér","99 millió Ft","84 m²","2 + 1 fél","Az V. kerületben - a Március 15. téren - eladó egy benapozott, kiváló elrendezésu, hagyományos stílusban felújított 84 nm-es lakás a 4. emeleten.A lifttel rendelkezo társasház nagyon szép állapotú és jó lakóközösséggel rendelkezik.LAKÁS HELYISÉGEI:- 84 nm-es- 2 szoba külön bejáratú szoba- 1 étkezo- 1 fogadóhelyiségMUSZAKI JELLEMZOK:- Futés: gáz-cirkó- Felújított villamoshálózat- Felújított fürdoszoba (zuhanykabin, külön wc)- Kituno állapotban lévo burkolatokA közös költség 14.000,- Ft/hó.A lakás teljes berendezése (1-2 bútordarab kivételével) a vételár részét képezi.A lakáshoz tartozik 17nm-es száraz zárható pince.Az infrastruktúra kiváló: metró, buszmegállók, villamos pár perc alatt elérhetok. Óvoda, iskola, gyógyszertár, rendelointézet, posta, boltok, üzletek, éttermek, edzoterem és számos szolgáltatás megtalálható a közelben.Remek választás ügyvédi vagy egyéb irodának, szállásadásra, de kituno elhelyezkedése és a lakás elrendezése miatt akár orvosi rendelonek is megfelelhet.Az ingatlan rövid idon belül birtokba veheto.Várom megtisztelo hívását!","felújított","nincs megadva","nincs megadva","4","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","14 E Ft/hó","nincs megadva","nincs megadva","nincs megadva","panorámás","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"767","XII. kerület, Krisztinaváros - Városmajor","99 millió Ft","125 m²","4","Új tulajdonosára vár, egy a múlt század tízes éveiben épült, néhány éve kívülrol felújított, hívó liftes, Bp. XII..kerület városmajori 3,5 m belmagasságú társasház 2. emeleti négy szobás (egy kivételével külön bejáratú szobák), erkélyes, 125 m2-es lakása. A lakás beköltözheto állapotú. A parkolás a ház udvarán levo autóbeálló kedvezo árú bérlésével oldható meg. A lakás mutatása, illetve további kérdések esetén forduljon hozzám bizalommal !","jó állapotú","összkomfortos","nincs megadva","2","nincs megadva","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","utcai","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"768","IX. kerület, Középso-Ferencváros - Rehabilitációs terület","99 millió Ft","103 m²","3","Eladásra kínálok IX. ker Középso-Ferencváros Rehabilitációs területenaFERENCTÉREN egy 103 nm-es 3 szobás nagyon szép tágas, világos, külön wc - fürdos, összkomfortos, fás terütelre nézo, délnyugati tájolású lakást 4 emeletes téglaépítésu, liftes ház legfelso, 4. emeletén.A lakás pár éve teljes felújításon esett át, vezetékcserék, parketta felcsiszolása, nyílászárók csiszolása - festése megtörténtek. A vételár részét képezi a konyhabútor, illetve a hatalmas beépített szekrények. A lakás a folyósó végén található, saroklakás, így rendkívül intim, más nem megy el elotte. Azonnal költözheto!Közös költség 25 607 Ft/hóA környéken számos bevásárlási lehetoség adott, továbbá sétatávolságon belül van iskola, óvoda, így családosok számára is kiváló lehetoség.Eladási ára 99M FtBármilyen kérdés esetén keressen bizalommal.Hétvégén is hívhat!","nincs megadva","összkomfortos","nincs megadva","4","5","van","3 m-nél magasabb","gáz (cirko)","nincs","nincs megadva","nincs megadva","külön helyiségben","délnyugat","kertre néz","nincs megadva","nem","nem tetotéri","nincs megadva",NA,NA,NA
"769","VI. kerület, Szondi utca","99 millió Ft","56 m²","2","VI. kerületben, Szinyei Merse házban eladó egy 134 m2-es (tulajdon lap szerint a lakás 55 m2 + 79 m2 terasz) 1+1 szobás, CSENDES, VILÁGOS, PENTHOUSE  lakás. A lakás ritkaságnak számít, mivel 9 -ik emeleten található ennél fogva panoráma tárul elénk az egész városra ( Gellért hegy, Jánoshegy stb...)A 2000-es évek után épült társasház legfelso, 9 emeletén található. A lépcsoház karban- és tisztán tartott.A lakás fobb jellemzoi:- TEHERMENTES- DK., DNY., ÉNY. -i fekvésu- ablakos konyha- gépesített konyhabútor (benne van a vételárban)- ablakos fürdo- kádas fürdo- dupla komfort- biztonsági ajtó- zárt lépcsoház- alacsony rezsi- minden egyedileg mérhetoFutése: házközpontiKözös költség: 25.000 Ft/hóKözelben: bevásárlási lehetoségek, óvoda, iskola, bankok, posta, gyógyszertár stb.Közlekedés: kiváló ( 72 -es troli, 1-es metró pár percen belül elérheto, éjszakai járat).Parkolás: igény szerint a ház alatti teremgarázsban van hely További részletekért, hívjon bizalommal! (Akár hétvégén is!)K.A.","újszeru","duplakomfortos","nincs megadva","9","9","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","igen","nincs megadva","délnyugat","panorámás","78 m²","nem","tetotéri","teremgarázs hely - benne van az árban",NA,"2001 és 2010 között",NA
"770","VI. kerület, Szondi utca","274,74 ezer €","56 m²","2","VI. kerületben, Szinyei Merse házban eladó egy 134 m2-es (tulajdon lap szerint a lakás 55 m2 + 79 m2 terasz) 1+1 szobás, CSENDES, VILÁGOS, PENTHOUSE  lakás. A lakás ritkaságnak számít, mivel 9 -ik emeleten található ennél fogva panoráma tárul elénk az egész városra ( Gellért hegy, Jánoshegy stb...)A 2000-es évek után épült társasház legfelso, 9 emeletén található. A lépcsoház karban- és tisztán tartott.A lakás fobb jellemzoi:- TEHERMENTES- DK., DNY., ÉNY. -i fekvésu- ablakos konyha- gépesített konyhabútor (benne van a vételárban)- ablakos fürdo- kádas fürdo- dupla komfort- biztonsági ajtó- zárt lépcsoház- alacsony rezsi- minden egyedileg mérhetoFutése: házközpontiKözös költség: 25.000 Ft/hóKözelben: bevásárlási lehetoségek, óvoda, iskola, bankok, posta, gyógyszertár stb.Közlekedés: kiváló ( 72 -es troli, 1-es metró pár percen belül elérheto, éjszakai járat).Parkolás: igény szerint a ház alatti teremgarázsban van hely További részletekért, hívjon bizalommal! (Akár hétvégén is!)K.A.","újszeru","duplakomfortos","nincs megadva","9","9","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","igen","nincs megadva","délnyugat","panorámás","78 m²","nem","tetotéri","teremgarázs hely - benne van az árban",NA,"2001 és 2010 között",NA
"771","VI. kerület, Király utca","99 millió Ft","83 m²","4","PÁRATLAN LEHETOSÉG, SAROK LAKÁS ELADÓ A KIRÁLY UTCÁBAN!VI. Kerület belvárosi részén, KÖRÚTON BELÜL, a Király utcában eladó egy 83 nm-es, ragyogó elosztású, 4 szobás, világos lakás.Néhány éve teljes köru felújításon esett át, a víz, gáz, villany, burkolatok és cirkófutés felújítása mellett az alaprajza is praktikusabb lett. A nagy konyha-étkezo közös lakótérként is használható. Mind a négy szoba utcára néz, napfényes, két külön bejáratú fürdoszoba szolgálja a lakók kényelmét. Az ingatlan kiválóan alkalmas hosszú vagy rövid távú bérbeadásra, de egy nagyobb család igényeit is kielégíti.A társasház jó állapotú, anyagilag rendezett, folyamatosan karbantartott, lakóközössége tiszta, kulturált, csendes. Forgalmas környék, igazi városi hangulat, éttermek, kávézók, színházak, valamint pár lépésre a patinás Andrássy út jellemzi.Kiváló közlekedés és infrastruktúra, iskolák, posta, üzletek, M1, trolik, buszok. Ajánlom családoknak, saját részre, de akár befektetésnek, publikálásnak is. A lakás tehermentes, azonnal költözheto.További információkért keressen bátran!Referencia szám: LK050942.","felújított","nincs megadva","nincs megadva","2","nincs megadva","van","3 m-nél magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délkelet","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"1950 és 1980 között",NA
"772","V. kerület, Váci utca","99 millió Ft","91 m²","3 + 1 fél","BELVÁROS SZÍVÉBEN!Az V. kerületben a Váci utcánál, a Nyáry Pál utcában egy felújított homlokzattal rendelkezo Bauhaus épület magasföldszintjén kínálunk eladásra egy 91 nm-es, 3 + 1 szobás + hallos, közepes állapotú, utcai nézetu lakást.Belmagasság: 3,10 mFutése házközponti. A lakás kiválóan alkalmas lakásnak, ha szeretne a belvárosban lakni. Mivel fofalak nem találhatóak a lakásban, így kialakítható egy amerikai konyhás nappali és 3 hálószoba, 2 fürdoszoba.Befektetésnek is jó kiadásra, vagy akár ügyvédi irodának, orvosi rendelonek is tökéletes! Ebben az esetben 4 külön bejáratú szoba + váró alakítható ki.A társasház folyamatosan karbantartott, új házközponti kazánnal rendelkezik.A lakás megtekintése rugalmas!","közepes állapotú","összkomfortos","nincs megadva","földszint","nincs megadva","van","3 m-nél magasabb","házközponti","nincs megadva","nincs megadva","nincs megadva","külön és egyben is","dél","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
"773","II. kerület, Szász Károly utca","99 millió Ft","116 m²","4","NÍVÓSAN FELÚJÍTOTT, CSENDES, NAPFÉNYES LAKÁS A MECHWART LIGETNÉL!II. Szász Károly utcában kínáljuk megvételre ezt az 1. emeleti, 3+1 szobás, duplakomfortos, 1 éve magas színvonalon és igényesen felújított, tágas, világos lakást, jól karban tartott liftes házban.A meleget cirkó (hideg burkolatú helyiségekben padlófutés) biztosítja, klíma és riasztó is ki van építve. A lakás valamennyi szobája külön nyíló, 2 fürdoszobával, s külön mosó-szárító helyiséggel rendelkezik.Igazi kuriózum! Ha exkluzív kialakítású, de meleg hangulatú polgári lakást keres csendes utcában, remek közlekedés és infrastruktúra mellett, akkor jöjjön el és tekintse meg mielobb ezt az ingatlant!Referencia szám: LK067945","felújított","duplakomfortos","nincs megadva","1","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"774","XIII. kerület, Hegedus Gyula utca 73.","99 millió Ft","106 m²","3 + 1 fél","Újlipótvárosban, a Hegedus Gyula utca Gogol utcához eso részénél eladó egy elso emeleti, konvektoros, erkélyes nagypolgári lakás. Minden fogyasztás egyedi mérésu, a közös költség 24 000 Ft. Az épület kívül belül jó állapotban van, a társasház liftes, belso udvaros, függofolyosós. Belmagassága 3.5 méter, a szobák parkettásak, a konyha az ár részét képezi, ahogy egy 10 m2-es pincehelyiség is. A belso terek jól alakíthatóak, a cselédszobából, amely lichthofra szellozik, egy konyhával egybenyitott étkezot remekül ki lehetne alakítani, a három nagy szoba pedig élettérnek tökéletes. A dupla gerébtokos nyílászárók megmenthetoek akár egy üvegcserével, azonban a futésrendszer és a fürdoszoba is korszerusítésre szorul.Késobbi hasznosítása a lokáció miatt vitathatatlan, akár kiadásra, akár irodai felhasználásra tökéletesen alkalmazható, így aki lakhatásra veszi is biztos lehet benne, hogy eladáskor nem lesz problémája a vevo megtalálásával. Amennyiben egyéb kérdése lenne, keressen bizalommal!Szucs Attila, Ingatlanpáholy értékesíto, Kalmárok musorvezeto.","közepes állapotú","nincs megadva","nincs megadva","1","4","van","3 m-nél magasabb","gáz (konvektor)","nincs","25 E Ft/hó","nem","külön helyiségben","északnyugat","utcai","4 m²","nincs megadva","nem tetotéri","utca, közterület - fizetos övezet",NA,"1950 elott",NA
"775","V. kerület, Belgrád rakpart","99 millió Ft","84 m²","3","Részleges dunai panorámával rendelkezo, nappali + 2 szobás lakás eladó!84 nm-es, déli tájolású, utcai nézetu, pár éve felújított nagypolgári lakás azonnal birtokba veheto.Az impozáns társasház legfelso, 4. emeletén található lakásba lépve, egy nagy nappaliba lépünk egyik irányban találjuk a konyhát az étkezovel, másik irányban egy folyosóról nyílik a két külön bejáratú, de egybe is nyitható hálószoba, a fürdoszoba és a wc.Pici ráfordítással  amerikai konyha + nappali és 3 hálószobás lakássá alakítható.A szobákban parketta van, a nyílászárók eredetiek, szépen karbantartva.A futést gáz cirkó biztosítja, a közös költség 14.000.-/hó, amely természetesen felújítási alapot is tartalmazza.A Duna House teljes kínálatával kapcsolatban forduljon hozzám bizalommal. Hitel ügyintézés, eladás és vétel teljesköru ügyintézése, ingyenes tanácsadás, értékbecslés, megbízható ügyvédi háttér biztosítása.Várom megtisztelo hívását a hét minden napján.","jó állapotú","nincs megadva","nincs megadva","4","nincs megadva","van","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","dél","nincs megadva","nincs megadva","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 elott",NA
"776","VII. kerület, Murányi utca","99 millió Ft","99 m²","3","VII. kerületben, a Murányi utcában 2020-ban épült 6 emeletes lakópark felso, 3 szintes lakását megvételre kínálom! A lakás belso 3 szintes: az alsó szinten hálószoba és fürdoszoba található. A szobából erkély nyílik. A középso szinten az amerikai konyhás nappali található, valamint egy tároló és mellékhelyiség. Innen is erkély nyílik. A 3. szinten pedig egy nagy terasz található.Futés: központi futésLégkondival ellátottZárt garázs a lakáshoz külön megvásárolható, 5 Millió forint / hely. ( több parkolóhely is megvásárolható )Hétvégén is hívhat!","nincs megadva","összkomfortos","nincs megadva","6","6","van","3 m-nél alacsonyabb","házközponti","van","nincs megadva","nincs megadva","külön és egyben is","dél","panorámás","47 m²","nincs megadva","nem tetotéri","teremgarázs hely - megvásárolható","5 000 000 Ft",NA,NA
"777","II. kerület, Törökvész","99 millió Ft","74 m²","3","Törökvész legszebb pontján lakás eladó!A 2. kerület kiemelten szép területén eladó egy 74 nm-es ingatlan.A teljesköruen felújított lakás egy nappali + amerikai konyha , 2 háló szoba, fürdoszobából áll.A ház 3 társasházi al betéttel rendelkezik, saját kertrésszel.Ezen ingatlanhoz 1 db 10 nm-es tároló és 2 db kerti gépkocsi beálló tartozik.Erkélyérol csodaszámba meno örök panoráma tárul elénk.Fekvése D, DNY-i.Közös költsége: 28.000 Ft/hó.","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA
"778","VII. kerület, Belso-Erzsébetváros","99 millió Ft","89 m²","3 + 2 fél","Budapesten, VII kerület közkedvelt részén, 89 nm-es (+25 nm galéria), 3+2 szobás, FELÚJÍTOTT, IGÉNYES, légkondicionált, bútorozott, elso emeleti lakás keresi leendo tulajdonosát!A lakás zárt folyosóról közelítheto meg. Belépve kis elotér beépített design-szekrénysorral, valamint az ablakos nyitott konyharész fogad minket.A konyha gépesített, mosógép-kiállással ellátott.A szobák felé vezeto közlekedon található a két fürdoszoba, melyek mindegyikében zuhanyzó és Wc is található.A közlekedon található design-szekrénysoron kívül önálló gardrób is kialakításra került.A lakás nagy belmagasságú, mely megengedte a 25 nm-es galéria kialakítását is.A nappalirész, illetve a két ajtóval zárható hálószoba az alsó szinten helyezkedik el.Design lépcson az emeletre jutva 2 további hálórész került kialakításra.A közös költség: 20 000 Ft.A teljes berendezés és dekoráció a vételár részét képezi.Amennyiben a hirdetés felkeltette érdeklodését, keressen bizalommal! Szívesen megmutatom Önnek bármikor.dr. Vincellér Zsuzsa","felújított","duplakomfortos","nincs megadva","1","nincs megadva","nincs megadva","3 m-nél magasabb","gáz (cirko)","van","nincs megadva","nincs megadva","külön és egyben is","nincs megadva","utcai","nincs megadva","nem","nem tetotéri","utca, közterület",NA,"nincs megadva",NA
"779","XI. kerület, Gellérthegy","99 millió Ft","83 m²","2","ELADÓ A GELLÉRTEHEGYEN EGY ERKÉLYES,  PANORÁMÁS LAKÁS FELÚJÍTOTT HÁZBAN GARÁZZSALXI. kerületben, Gellérthegyen eladó ez a rendkívüli adottságokkal rendelkezo elso emeleti lakás, 4 lakásos társasházbanFantasztikus zöld környezetben található 83 négyzetméteres körbenapozott.  A lakás belül teljesköru felújítást, korszerusítést igényel. Saját lakásnak vagy befektetésnek is ideális. 99000000 FtReferencia szám: LK520039","közepes állapotú","nincs megadva","nincs megadva","1","nincs megadva","nincs","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","nincs megadva","nincs megadva","délnyugat","kertre néz","5 m²","nincs megadva","nem tetotéri","nincs megadva",NA,"1950 és 1980 között",NA
"780","VI. kerület, Kodály körönd","99 millió Ft","67 m²","3","VI. kerület Kodály köröndnél Szív utcában. Minoségi anyagokok felhasználásával, luxus szinten felújított lakás eladó. A lakás 67nm-es,+ 15 nm állógaléria amerikai konyhás nappali+ 2 szoba+ 2 fürdo szoba. Az egyik fürdo zuhanyzós a másik fürdokádas, és infra szauna is található benne.Extrák:-klíma-padlófuts-riasztó-2 gardrób beépített bútorok-Konyha felszerelt Electrolux gépekkel légkeveréses borhuto- üvegdesign a padlóbanTovábbi információért hívjon.","felújított","luxus","nincs megadva","félemelet","nincs megadva","nincs megadva","3 m-nél magasabb","padlófutés, gáz (cirko)","van","nincs megadva","nem","egy helyiségben","délnyugat","utcai","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva",NA
